article_id,source_title,source_url,updated_at,campus,area,floor,window_no,window_name,location_hint,dish_name,review_status,types,available,heat,duplicate_count,review_id
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,蛋糕,pending,protein,lunch；dinner,none,1,95aa81a0e23f6b4f
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,剁椒肉酱,pending,spicy；protein,lunch；dinner,mild,1,9f9761c6ccf2bf6d
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,广式腊肠饭,pending,rice,lunch；dinner,none,1,04d8b9bd3d7efad4
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,火腿玉米饼,pending,rice；snack,breakfast；lunch；dinner,none,1,63dbc9e46dfd3de4
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,秘制豆沙饼,pending,snack,breakfast；lunch；dinner,none,1,e1a800e3737be1db
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,秘制卤菜饭,pending,rice,lunch；dinner,none,1,08f80bf48dd92d66
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,手抓饼,pending,snack,breakfast；lunch；dinner,none,1,dde660eb1e734efa
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,油卤鸡腿,pending,protein,lunch；dinner,none,1,c78a03a38acdce26
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,鱼香茄子饼,pending,snack；vegetarian；protein,breakfast；lunch；dinner,none,1,e3ed5d9710ffc8b2
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,枣糕,pending,rice,lunch；dinner,none,1,a9e6634e3fd5b3ca
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,招牌猪脚饭,pending,rice,lunch；dinner,none,1,bfa5ea07fe5083fe
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,照烧鸡腿饼,pending,snack；protein,breakfast；lunch；dinner,none,1,d8e2cb7b4e8e95b3
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,1,麦香馅饼,丁香一层餐厅 · 一层 · 1号窗口 · 麦香馅饼,孜然羊肉饼,pending,snack；protein,breakfast；lunch；dinner,mild,1,b37a336845be3ba4
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,10,自选套餐,丁香一层餐厅 · 一层 · 10号窗口 · 自选套餐,上下滑动查看更多,pending,rice,lunch；dinner,none,1,838f1acf3d065c8c
dingxiang-1f,丁香一层餐厅窗口分布及菜单,https://mp.weixin.qq.com/s/BCnHWQErlSOTS0FW0WJI8g,2024-09-27,south,丁香一层餐厅,一层,10,自选套餐,丁香一层餐厅 · 一层 · 10号窗口 · 自选套餐,自选套餐,pending,rice,lunch；dinner,none,1,4bc4b099e8eb7944
